Year,Month,Day,Value
2022,4,1,146.7316065
2022,4,2,146.7316065
2022,4,3,146.7316065
2022,4,4,146.7316065
2022,4,5,146.7316065
2022,4,6,146.7316065
2022,4,7,146.7316065
2022,4,8,146.7316065
2022,4,9,146.7316065
2022,4,10,146.7316065
2022,4,11,146.7316065
2022,4,12,146.7316065
2022,4,13,146.7316065
2022,4,14,146.7316065
2022,4,15,146.7316065
2022,4,16,146.7316065
2022,4,17,146.7316065
2022,4,18,146.7316065
2022,4,19,146.7316065
2022,4,20,146.7316065
2022,4,21,146.7316065
2022,4,22,146.7316065
2022,4,23,146.7316065
2022,4,24,146.7316065
2022,4,25,146.7316065
2022,4,26,146.7316065
2022,4,27,146.7316065
2022,4,28,146.7316065
2022,4,29,146.7316065
2022,4,30,146.7316065
2022,5,1,146.0404465
2022,5,2,146.0404465
2022,5,3,146.0404465
2022,5,4,146.0404465
2022,5,5,146.0404465
2022,5,6,146.0404465
2022,5,7,146.0404465
2022,5,8,146.0404465
2022,5,9,146.0404465
2022,5,10,146.0404465
2022,5,11,146.0404465
2022,5,12,146.0404465
2022,5,13,146.0404465
2022,5,14,146.0404465
2022,5,15,146.0404465
2022,5,16,146.0404465
2022,5,17,146.0404465
2022,5,18,146.0404465
2022,5,19,146.0404465
2022,5,20,146.0404465
2022,5,21,146.0404465
2022,5,22,146.0404465
2022,5,23,146.0404465
2022,5,24,146.0404465
2022,5,25,146.0404465
2022,5,26,146.0404465
2022,5,27,146.0404465
2022,5,28,146.0404465
2022,5,29,146.0404465
2022,5,30,146.0404465
2022,5,31,146.0404465
2022,6,1,145.3728355
2022,6,2,145.3728355
2022,6,3,145.3728355
2022,6,4,145.3728355
2022,6,5,145.3728355
2022,6,6,145.3728355
2022,6,7,145.3728355
2022,6,8,145.3728355
2022,6,9,145.3728355
2022,6,10,145.3728355
2022,6,11,145.3728355
2022,6,12,145.3728355
2022,6,13,145.3728355
2022,6,14,145.3728355
2022,6,15,145.3728355
2022,6,16,145.3728355
2022,6,17,145.3728355
2022,6,18,145.3728355
2022,6,19,145.3728355
2022,6,20,145.3728355
2022,6,21,145.3728355
2022,6,22,145.3728355
2022,6,23,145.3728355
2022,6,24,145.3728355
2022,6,25,145.3728355
2022,6,26,145.3728355
2022,6,27,145.3728355
2022,6,28,145.3728355
2022,6,29,145.3728355
2022,6,30,145.3728355
2022,7,1,144.722413
2022,7,2,144.722413
2022,7,3,144.722413
2022,7,4,144.722413
2022,7,5,144.722413
2022,7,6,144.722413
2022,7,7,144.722413
2022,7,8,144.722413
2022,7,9,144.722413
2022,7,10,144.722413
2022,7,11,144.722413
2022,7,12,144.722413
2022,7,13,144.722413
2022,7,14,144.722413
2022,7,15,144.722413
2022,7,16,144.722413
2022,7,17,144.722413
2022,7,18,144.722413
2022,7,19,144.722413
2022,7,20,144.722413
2022,7,21,144.722413
2022,7,22,144.722413
2022,7,23,144.722413
2022,7,24,144.722413
2022,7,25,144.722413
2022,7,26,144.722413
2022,7,27,144.722413
2022,7,28,144.722413
2022,7,29,144.722413
2022,7,30,144.722413
2022,7,31,144.722413
2022,8,1,144.093114
2022,8,2,144.093114
2022,8,3,144.093114
2022,8,4,144.093114
2022,8,5,144.093114
2022,8,6,144.093114
2022,8,7,144.093114
2022,8,8,144.093114
2022,8,9,144.093114
2022,8,10,144.093114
2022,8,11,144.093114
2022,8,12,144.093114
2022,8,13,144.093114
2022,8,14,144.093114
2022,8,15,144.093114
2022,8,16,144.093114
2022,8,17,144.093114
2022,8,18,144.093114
2022,8,19,144.093114
2022,8,20,144.093114
2022,8,21,144.093114
