Year,Month,Day,BLN-3M-1,BLN-7M-1
2021,12,28,55790.9,44215
2021,12,29,62697.3,
2021,12,30,,
2021,12,31,,
2022,5,1,,
2022,1,2,,
2022,1,3,,
2022,1,4,65370.5,
2022,1,5,,
2022,1,6,65402.7,9828.1
2022,1,7,,66919.8
2022,1,8,,
2022,1,9,,
2022,1,10,,
2022,1,11,56111,55079.7
2022,1,12,,
2022,1,13,,9841.9
2022,1,14,63823.7,
2022,1,15,,0
2022,1,16,62512.2,
2022,1,17,66054.7,
2022,1,18,29308.2,
2022,1,19,,62722.9
2022,1,20,,
2022,1,21,,24610.7
2022,1,22,,
2022,1,23,,
2022,1,24,,22407
2022,1,25,,
2022,1,26,59341.1,
2022,1,27,62688.3,8660.4
2022,1,28,,
2022,1,29,70055.2,56034.6
2022,1,30,,
2022,1,31,,11202.8
2022,2,1,,
2022,2,2,,
2022,2,3,,
2022,2,4,,
2022,2,5,69556.6,62744.7
2022,2,6,73363,14955.4
2022,2,7,71198.7,
2022,2,8,,64007.1
2022,2,9,27903.1,
2022,2,10,,59153.3
2022,2,11,76597.3,55881.6
2022,2,12,,
2022,2,13,,
2022,2,14,,
2022,2,15,61923.4,54937.6
2022,2,16,100252.9,
2022,2,17,,
2022,2,18,,21294.9
2022,2,19,,
2022,2,20,,
2022,2,21,,69014.72
2022,2,22,60841.7,
2022,2,23,,
2022,2,24,,2636.8
2022,2,25,,
2022,2,26,,56232.5
2022,2,27,,
2022,2,28,,153150
2022,3,1,,
2022,3,2,,14516.4
2022,3,3,,
2022,3,4,76216.71,64451.4
2022,3,5,61542.3,
2022,3,6,,
2022,3,7,,66677.7
2022,3,8,64073.7,
2022,3,9,,
2022,3,10,60822.5,
2022,3,11,,3101.7
2022,3,12,,
2022,3,13,,
2022,3,14,41053.9,
2022,3,15,,56151.7
2022,3,16,,
2022,3,17,62207.8,71297.7
2022,3,18,,24445
2022,3,19,,
2022,3,20,,
2022,3,21,,
2022,3,22,68050.6,
2022,3,23,62482.4,
2022,3,24,,76294.42
2022,3,25,,
2022,3,26,,26937.9
2022,3,27,,
2022,3,28,,
2022,3,29,,66195.1
2022,3,30,,
2022,3,31,64556.2,1353.5
2022,4,1,,
2022,4,2,,
2022,4,3,,
2022,4,4,,61766
2022,4,5,,
2022,4,6,,13339.8
2022,4,7,64117.7,
2022,4,8,69903.2,63575.4
2022,4,9,65727.5,
2022,4,10,,
2022,4,11,,13713.3
2022,4,12,56208.6,
2022,4,13,,
2022,4,14,,17721.8
2022,4,15,90350.7,20000
2022,4,16,,
2022,4,17,,
2022,4,18,,
2022,4,19,,59370.3
2022,4,20,,13698.9
2022,4,21,61787.8,
2022,4,22,,65592.7
2022,4,23,63140.9,
2022,4,24,,
2022,4,25,,28342.3
2022,4,26,,
2022,4,27,,
2022,4,28,,18148.4
2022,4,29,,
2022,4,30,,
2022,5,1,64584,60577.2
2022,5,2,68597.3,
2022,5,3,,17194.4
2022,5,4,,
2022,5,5,,
2022,5,6,68230.6,
2022,5,7,68658.2,
2022,5,8,,
2022,5,9,,75946.7
2022,5,10,,4117
2022,5,11,,17958.6
2022,5,12,,
