Year,Month,Day,Wholesaler (3MPa Area),Household use (3MPa Area),Business use (3MPa Area),Industrial use (3MPa Area),Power Gen use (3MPa Area),Wholesaler (7MPa Area),Household use (7MPa Area),Business use (7MPa Area),Industrial use (7MPa Area),Power Gen use (7MPa Area),3M Power Plant1,3M Power Plant2,7M Power Plant1
2022,1,1,1159.708814,1932.848024,1546.278419,3865.696048,2178.75394,1366.799674,2277.999457,1822.399565,4555.998914,2567.817144,3148.229412,787.057353,3710.413235
2022,1,2,1143.185129,1905.308549,1524.246839,3810.617097,2275.140747,1347.325331,2245.542218,1796.433774,4491.084436,2681.41588,3024.823529,756.205882,3564.970588
2022,1,3,1244.772244,2074.620407,1659.696326,4149.240814,2195.19152,1467.053002,2445.088337,1956.07067,4890.176674,2587.190006,2987.764706,746.941176,3521.294118
2022,1,4,1438.837412,2398.062354,1918.449883,4796.124707,2895.410889,1695.772664,2826.287774,2261.030219,5652.575548,3412.448548,3138.758824,784.689706,3699.251471
2022,1,5,1719.299445,2865.499075,2292.39926,5730.998151,3593.338495,2026.317203,3377.195339,2701.756271,6754.390677,4235.006083,3097.994118,774.498529,3651.207353
2022,1,6,2012.985851,3354.976418,2683.981135,6709.952837,3900.011956,2372.44761,3954.07935,3163.26348,7908.1587,4596.442662,3315.858824,828.964706,3907.976471
2022,1,7,1997.749674,3329.58279,2663.666232,6659.16558,3919.389822,2354.490687,3924.151146,3139.320916,7848.302291,4619.280861,3188.294118,797.073529,3757.632353
2022,1,8,1725.933539,2876.555899,2301.244719,5753.111797,3449.16716,2034.135957,3390.226595,2712.181276,6780.45319,4065.089868,3185.123529,796.280882,3753.895588
2022,1,9,1514.973149,2524.955249,2019.964199,5049.910497,2577.882152,1785.504069,2975.840115,2380.672092,5951.680229,3038.21825,2892.4,723.1,3408.9
2022,1,10,1690.421633,2817.369388,2253.895511,5634.738776,2858.800922,1992.282639,3320.471065,2656.376852,6640.942129,3369.301086,3005.470588,751.367647,3542.161765
2022,1,11,1987.24124,3312.068734,2649.654987,6624.137468,3640.300849,2342.105748,3903.509579,3122.807663,7807.019159,4290.354572,3102.276471,775.569118,3656.254412
2022,1,12,1997.824359,3329.707264,2663.765811,6659.414528,3749.510988,2354.578708,3924.297847,3139.438278,7848.595694,4419.066522,3124.141176,781.035294,3682.023529
2022,1,13,2009.968685,3349.947809,2679.958247,6699.895618,3748.216525,2368.891665,3948.152775,3158.52222,7896.30555,4417.540905,3061.429412,765.357353,3608.113235
2022,1,14,2027.416738,3379.027897,2703.222318,6758.055794,3906.139548,2389.455441,3982.425736,3185.940589,7964.851471,4603.664468,3102.605882,775.651471,3656.642647
2022,1,15,1697.052333,2828.420556,2262.736444,5656.841111,3543.224965,2000.097393,3333.495655,2666.796524,6666.99131,4175.943709,3157.041176,789.260294,3720.798529
2022,1,16,1526.254294,2543.757157,2035.005725,5087.514314,2842.996379,1798.799704,2997.999506,2398.399605,5995.999012,3350.674304,3100.217647,775.054412,3653.827941
2022,1,17,2052.075597,3420.125994,2736.100795,6840.251989,3461.970215,2418.517667,4030.862779,3224.690223,8061.725558,4080.179182,3228.605882,807.151471,3805.142647
2022,1,18,2050.260345,3417.100575,2733.68046,6834.20115,3751.059109,2416.378264,4027.297106,3221.837685,8054.594213,4420.891092,3280.570588,820.142647,3866.386765
2022,1,19,2099.473438,3499.122397,2799.297918,6998.244794,3783.999157,2474.379409,4123.965682,3299.172546,8247.931365,4459.713293,3293.705882,823.426471,3881.867647
2022,1,20,2086.283127,3477.138545,2781.710836,6954.27709,3903.678926,2458.833686,4098.056143,3278.444914,8196.112285,4600.764448,3276.411765,819.102941,3861.485294
2022,1,21,2110.17948,3516.965801,2813.57264,7033.931601,3902.406215,2486.997245,4144.995408,3315.996326,8289.990816,4599.264468,3243.8,810.95,3823.05
2022,1,22,1756.710362,2927.850604,2342.280483,5855.701207,3599.863902,2070.408641,3450.681069,2760.544855,6901.362137,4242.696741,3178.864706,794.716176,3746.519118
2022,1,23,1627.982382,2713.30397,2170.643176,5426.60794,3398.577286,1918.693522,3197.822536,2558.258029,6395.645072,4005.466087,3173.347059,793.336765,3740.016176
2022,1,24,2000.655731,3334.426218,2667.540974,6668.852435,3422.675463,2357.915682,3929.859471,3143.887577,7859.718941,4033.867509,3093.588235,773.397059,3646.014706
2022,1,25,2118.938473,3531.564122,2825.251298,7063.128245,3795.530976,2497.320344,4162.200573,3329.760458,8324.401146,4473.304365,3184.752941,796.188235,3753.458824
2022,1,26,2028.740545,3381.234242,2704.987394,6762.468485,3744.864415,2391.015643,3985.026071,3188.020857,7970.052143,4413.590203,3209.541176,802.385294,3782.673529
2022,1,27,2022.83585,3371.393084,2697.114467,6742.786167,3405.024531,2384.056538,3973.427563,3178.74205,7946.855125,4013.064626,3118.582353,779.645588,3675.472059
2022,1,28,1896.211477,3160.352462,2528.28197,6320.704924,3541.157364,2234.82067,3724.701116,2979.760893,7449.402232,4173.506893,3127.147059,781.786765,3685.566176
2022,1,29,1621.230065,2702.050108,2161.640086,5404.100216,2998.074607,1910.735434,3184.559056,2547.647245,6369.118112,3533.445072,3045.741176,761.435294,3589.623529
2022,1,30,1565.722892,2609.538153,2087.630522,5219.076305,2344.569833,1845.316265,3075.527108,2460.421687,6151.054217,2763.243018,2878.935294,719.733824,3393.030882
2022,1,31,1969.68052,3282.800867,2626.240693,6565.601733,3160.699138,2321.409184,3869.015307,3095.212246,7738.030614,3725.109698,3077.2,769.3,3626.7
2022,2,1,1945.578263,3242.630438,2594.104351,6485.260877,3432.970334,2293.002953,3821.671588,3057.33727,7643.343176,4046.000751,3189.776471,797.444118,3759.379412
2022,2,2,1944.432532,3240.720887,2592.576709,6481.441773,3189.280558,2291.652627,3819.421045,3055.536836,7638.84209,3758.794944,3110.594118,777.648529,3666.057353
2022,2,3,1933.20209,3222.003483,2577.602787,6444.006967,3165.74205,2278.416749,3797.361248,3037.888999,7594.722497,3731.053131,3141.270588,785.317647,3702.211765
2022,2,4,1902.247015,3170.411691,2536.329353,6340.823383,3369.841017,2241.933982,3736.556636,2989.245309,7473.113273,3971.598341,3188.788235,797.197059,3758.214706
2022,2,5,1661.082114,2768.470191,2214.776153,5536.940381,3036.547554,1957.703921,3262.839868,2610.271894,6525.679735,3578.788189,3240.711765,810.177941,3819.410294
2022,2,6,1599.427716,2665.71286,2132.570288,5331.425721,2759.027349,1885.039808,3141.733014,2513.386411,6283.466028,3251.710804,2927.688235,731.922059,3450.489706
2022,2,7,1994.728788,3324.54798,2659.638384,6649.095961,3225.064297,2350.930357,3918.217262,3134.57381,7836.434525,3800.968635,3153.623529,788.405882,3716.770588
2022,2,8,2056.353851,3427.256418,2741.805134,6854.512835,3470.347172,2423.559895,4039.266492,3231.413194,8078.532984,4090.052024,3249.276471,812.319118,3829.504412
2022,2,9,1968.716284,3281.193807,2624.955045,6562.387613,3179.980038,2320.272763,3867.121272,3093.697018,7734.242544,3747.833616,3166.264706,791.566176,3731.669118
2022,2,10,2121.141325,3535.235541,2828.188433,7070.471083,3821.00952,2499.916561,4166.527602,3333.222082,8333.055204,4503.332649,3155.682353,788.920588,3719.197059
2022,2,11,1709.973142,2849.955237,2279.964189,5699.910473,3196.059253,2015.325489,3358.875815,2687.100652,6717.751629,3766.78412,2711.511765,677.877941,3195.710294
2022,2,12,1653.162925,2755.271542,2204.217234,5510.543084,2880.306854,1948.370591,3247.284318,2597.827454,6494.568635,3394.647363,2616.023529,654.005882,3083.170588
2022,2,13,1639.537001,2732.561668,2186.049335,5465.123337,3130.92538,1932.311466,3220.519109,2576.415287,6441.038218,3690.019198,2697.141176,674.285294,3178.773529
