Year,Month,Day,Value
2022,4,1,80
2022,4,2,80
2022,4,3,80
2022,4,4,80
2022,4,5,80
2022,4,6,80
2022,4,7,80
2022,4,8,80
2022,4,9,80
2022,4,10,80
2022,4,11,80
2022,4,12,80
2022,4,13,80
2022,4,14,80
2022,4,15,80
2022,4,16,82
2022,4,17,82
2022,4,18,82
2022,4,19,82
2022,4,20,82
2022,4,21,82
2022,4,22,82
2022,4,23,82
2022,4,24,82
2022,4,25,82
2022,4,26,82
2022,4,27,82
2022,4,28,82
2022,4,29,82
2022,4,30,82
2022,5,1,85
2022,5,2,85
2022,5,3,85
2022,5,4,85
2022,5,5,85
2022,5,6,85
2022,5,7,85
2022,5,8,85
2022,5,9,85
2022,5,10,85
2022,5,11,85
2022,5,12,85
2022,5,13,85
2022,5,14,85
2022,5,15,85
2022,5,16,85
2022,5,17,85
2022,5,18,85
2022,5,19,85
2022,5,20,85
2022,5,21,85
2022,5,22,85
2022,5,23,85
2022,5,24,85
2022,5,25,85
2022,5,26,85
2022,5,27,85
2022,5,28,85
2022,5,29,85
2022,5,30,85
2022,5,31,85
2022,6,1,87
2022,6,2,87
2022,6,3,87
2022,6,4,87
2022,6,5,87
2022,6,6,87
2022,6,7,87
2022,6,8,87
2022,6,9,87
2022,6,10,87
2022,6,11,87
2022,6,12,87
2022,6,13,87
2022,6,14,87
2022,6,15,87
2022,6,16,87
2022,6,17,87
2022,6,18,87
2022,6,19,87
2022,6,20,87
2022,6,21,87
2022,6,22,87
2022,6,23,87
2022,6,24,87
2022,6,25,87
2022,6,26,87
2022,6,27,87
2022,6,28,87
2022,6,29,87
2022,6,30,87
2022,7,1,88
2022,7,2,88
2022,7,3,88
2022,7,4,88
2022,7,5,88
2022,7,6,88
2022,7,7,88
2022,7,8,88
2022,7,9,88
2022,7,10,88
2022,7,11,88
2022,7,12,88
2022,7,13,88
2022,7,14,88
2022,7,15,88
2022,7,16,88
2022,7,17,88
2022,7,18,88
2022,7,19,88
2022,7,20,88
2022,7,21,88
2022,7,22,88
2022,7,23,88
2022,7,24,88
2022,7,25,88
2022,7,26,88
2022,7,27,88
2022,7,28,88
2022,7,29,88
2022,7,30,88
2022,7,31,88
2022,8,1,89
2022,8,2,89
2022,8,3,89
2022,8,4,89
2022,8,5,89
2022,8,6,89
2022,8,7,89
2022,8,8,89
2022,8,9,89
2022,8,10,89
2022,8,11,89
2022,8,12,89
2022,8,13,89
2022,8,14,89
2022,8,15,89
2022,8,16,89
