Year,Month,Day,Value
2022,4,1,36.5448505
2022,4,2,36.5448505
2022,4,3,36.5448505
2022,4,4,36.5448505
2022,4,5,36.5448505
2022,4,6,36.5448505
2022,4,7,36.5448505
2022,4,8,36.5448505
2022,4,9,36.5448505
2022,4,10,36.5448505
2022,4,11,36.5448505
2022,4,12,36.5448505
2022,4,13,36.5448505
2022,4,14,36.5448505
2022,4,15,36.5448505
2022,4,16,37
2022,4,17,37
2022,4,18,37
2022,4,19,37
2022,4,20,37
2022,4,21,37
2022,4,22,37
2022,4,23,37
2022,4,24,38
2022,4,25,38
2022,4,26,38
2022,4,27,38
2022,4,28,38
2022,4,29,38
2022,4,30,38
2022,5,1,40
2022,5,2,40
2022,5,3,40
2022,5,4,40
2022,5,5,40
2022,5,6,40
2022,5,7,40
2022,5,8,41
2022,5,9,41
2022,5,10,41
2022,5,11,41
2022,5,12,41
2022,5,13,42
2022,5,14,42
2022,5,15,42
2022,5,16,42
2022,5,17,42
2022,5,18,42
2022,5,19,46
2022,5,20,46
2022,5,21,46
2022,5,22,46
2022,5,23,46
2022,5,24,46
2022,5,25,46
2022,5,26,48
2022,5,27,48
2022,5,28,48
2022,5,29,48
2022,5,30,48
2022,5,31,48
2022,6,1,48
2022,6,2,51
2022,6,3,51
2022,6,4,51
2022,6,5,51
2022,6,6,51
2022,6,7,51
2022,6,8,51
2022,6,9,53
2022,6,10,53
2022,6,11,53
2022,6,12,53
2022,6,13,53
2022,6,14,53
2022,6,15,53
2022,6,16,53
2022,6,17,53
2022,6,18,56
2022,6,19,56
2022,6,20,56
2022,6,21,56
2022,6,22,56
2022,6,23,56
2022,6,24,56
2022,6,25,56
2022,6,26,56
2022,6,27,56
2022,6,28,57
2022,6,29,57
2022,6,30,57
2022,7,1,57
2022,7,2,57
2022,7,3,57
2022,7,4,57
2022,7,5,57
2022,7,6,58
2022,7,7,58
2022,7,8,58
2022,7,9,58
2022,7,10,58
2022,7,11,58
2022,7,12,58
2022,7,13,58
2022,7,14,58
2022,7,15,59
2022,7,16,59
2022,7,17,59
2022,7,18,59
2022,7,19,59
2022,7,20,59
2022,7,21,59
2022,7,22,60
2022,7,23,60
2022,7,24,60
2022,7,25,60
2022,7,26,60
2022,7,27,60
2022,7,28,60
2022,7,29,60
2022,7,30,60
2022,7,31,60
2022,8,1,60
2022,8,2,61
2022,8,3,61
2022,8,4,61
2022,8,5,61
2022,8,6,61
2022,8,7,61
2022,8,8,61
2022,8,9,61
2022,8,10,61
2022,8,11,62
2022,8,12,62
2022,8,13,62
2022,8,14,62
2022,8,15,62
2022,8,16,62
2022,8,17,62
2022,8,18,62
2022,8,19,62
2022,8,20,62
2022,8,21,63
2022,8,22,63
2022,8,23,63
2022,8,24,63
2022,8,25,63
2022,8,26,63
2022,8,27,63
2022,8,28,63
2022,8,29,63
2022,8,30,64
2022,8,31,64
2022,9,1,64
2022,9,2,64
2022,9,3,64
2022,9,4,64
2022,9,5,64
2022,9,6,64
2022,9,7,64
2022,9,8,64
2022,9,9,65
2022,9,10,65
2022,9,11,65
2022,9,12,65
2022,9,13,65
2022,9,14,65
2022,9,15,66
2022,9,16,66
2022,9,17,66
2022,9,18,66
2022,9,19,66
2022,9,20,66
2022,9,21,66
2022,9,22,66
2022,9,23,66
2022,9,24,67
2022,9,25,67
2022,9,26,67
2022,9,27,67
2022,9,28,67
2022,9,29,67
2022,9,30,67
2022,10,1,67
2022,10,2,68
2022,10,3,68
2022,10,4,68
2022,10,5,68
2022,10,6,68
2022,10,7,68
2022,10,8,68
2022,10,9,69
2022,10,10,69
2022,10,11,69
2022,10,12,69
2022,10,13,69
2022,10,14,69
2022,10,15,70
2022,10,16,70
2022,10,17,70
2022,10,18,70
2022,10,19,70
2022,10,20,70
2022,10,21,70
2022,10,22,70
2022,10,23,71
2022,10,24,71
2022,10,25,71
2022,10,26,71
2022,10,27,71
2022,10,28,72
2022,10,29,72
2022,10,30,72
2022,10,31,72
2022,11,1,72
2022,11,2,73
2022,11,3,73
2022,11,4,73
2022,11,5,73
2022,11,6,73
2022,11,7,73
2022,11,8,74
2022,11,9,74
2022,11,10,74
2022,11,11,74
2022,11,12,74
2022,11,13,74
2022,11,14,75
2022,11,15,75
2022,11,16,75
2022,11,17,75
2022,11,18,75
2022,11,19,75
2022,11,20,75
2022,11,21,75
2022,11,22,75
2022,11,23,75
2022,11,24,75
2022,11,25,74
2022,11,26,74
2022,11,27,74
2022,11,28,74
2022,11,29,74
2022,11,30,74
2022,12,1,73
2022,12,2,73
2022,12,3,73
2022,12,4,73
2022,12,5,73
2022,12,6,73
2022,12,7,72
2022,12,8,72
2022,12,9,72
2022,12,10,72
2022,12,11,71
2022,12,12,71
2022,12,13,71
2022,12,14,71
2022,12,15,71
2022,12,16,71
2022,12,17,71
2022,12,18,70
2022,12,19,70
2022,12,20,70
2022,12,21,70
2022,12,22,69
2022,12,23,69
2022,12,24,69
2022,12,25,69
2022,12,26,69
2022,12,27,68
2022,12,28,68
2022,12,29,68
2022,12,30,68
2022,12,31,66
2023,1,1,66
2023,1,2,66
2023,1,3,66
2023,1,4,64
2023,1,5,64
2023,1,6,64
2023,1,7,64
2023,1,8,64
2023,1,9,61
2023,1,10,61
2023,1,11,61
2023,1,12,60
2023,1,13,59
2023,1,14,58
2023,1,15,58
2023,1,16,58
2023,1,17,58
2023,1,18,57
2023,1,19,57
2023,1,20,57
2023,1,21,55
2023,1,22,55
2023,1,23,55
2023,1,24,55
2023,1,25,53
2023,1,26,53
2023,1,27,53
2023,1,28,53
2023,1,29,50
2023,1,30,50
2023,1,31,50
2023,2,1,48
2023,2,2,48
2023,2,3,48
2023,2,4,48
2023,2,5,47
2023,2,6,47
2023,2,7,47
2023,2,8,47
2023,2,9,46
2023,2,10,46
2023,2,11,46
2023,2,12,46
2023,2,13,45
2023,2,14,45
2023,2,15,45
2023,2,16,44
2023,2,17,44
2023,2,18,44
2023,2,19,44
2023,2,20,42
2023,2,21,42
2023,2,22,42
2023,2,23,42
2023,2,24,42
2023,2,25,40
2023,2,26,40
2023,2,27,40
2023,2,28,40
2023,3,1,40
2023,3,2,40
2023,3,3,40
