Year,Month,Day,Tokyo
2022,1,1,6
2022,1,2,6
2022,1,3,5
2022,1,4,2
2022,1,5,4
2022,1,6,3
2022,1,7,5
2022,1,8,3
2022,1,9,3
2022,1,10,4
2022,1,11,6
2022,1,12,4
2022,1,13,3
2022,1,14,2
2022,1,15,5
2022,1,16,2
2022,1,17,6
2022,1,18,4
2022,1,19,3
2022,1,20,5
2022,1,21,2
2022,1,22,2
2022,1,23,3
2022,1,24,4
2022,1,25,3
2022,1,26,4
2022,1,27,2
2022,1,28,2
2022,1,29,3
2022,1,30,5
2022,1,31,3
2022,2,1,6
2022,2,2,9
2022,2,3,8
2022,2,4,5
2022,2,5,7
2022,2,6,9
2022,2,7,8
2022,2,8,9
2022,2,9,9
2022,2,10,9
2022,2,11,9
2022,2,12,9
2022,2,13,5
2022,2,14,6
2022,2,15,7
2022,2,16,8
2022,2,17,6
2022,2,18,7
2022,2,19,9
2022,2,20,8
2022,2,21,7
2022,2,22,8
2022,2,23,9
2022,2,24,6
2022,2,25,8
2022,2,26,9
2022,2,27,9
2022,2,28,6
2022,3,1,10
2022,3,2,12
2022,3,3,13
2022,3,4,13
2022,3,5,14
2022,3,6,12
2022,3,7,13
2022,3,8,14
2022,3,9,15
2022,3,10,10
2022,3,11,14
2022,3,12,10
2022,3,13,12
2022,3,14,14
2022,3,15,14
2022,3,16,15
2022,3,17,15
2022,3,18,15
2022,3,19,15
2022,3,20,11
2022,3,21,12
2022,3,22,12
2022,3,23,14
2022,3,24,13
2022,3,25,11
2022,3,26,12
2022,3,27,13
2022,3,28,11
2022,3,29,10
2022,3,30,11
2022,3,31,12
2022,4,1,15
2022,4,2,16
2022,4,3,15
2022,4,4,17
2022,4,5,17
2022,4,6,16
2022,4,7,15
2022,4,8,14
2022,4,9,18
2022,4,10,15
2022,4,11,14
2022,4,12,14
2022,4,13,16
2022,4,14,18
2022,4,15,15
2022,4,16,17
2022,4,17,17
2022,4,18,16
2022,4,19,16
2022,4,20,17
2022,4,21,18
2022,4,22,14
2022,4,23,14
2022,4,24,16
2022,4,25,16
2022,4,26,14
2022,4,27,18
2022,4,28,15
2022,4,29,18
2022,4,30,18
2022,5,1,20
2022,5,2,22
2022,5,3,17
2022,5,4,22
2022,5,5,19
2022,5,6,20
2022,5,7,21
2022,5,8,17
2022,5,9,21
2022,5,10,20
2022,5,11,22
2022,5,12,18
2022,5,13,22
2022,5,14,22
2022,5,15,21
2022,5,16,18
2022,5,17,22
2022,5,18,18
2022,5,19,18
2022,5,20,19
2022,5,21,17
2022,5,22,22
2022,5,23,17
2022,5,24,18
2022,5,25,19
2022,5,26,18
2022,5,27,20
2022,5,28,17
2022,5,29,17
2022,5,30,18
2022,5,31,17
2022,6,1,26
2022,6,2,26
2022,6,3,23
2022,6,4,22
2022,6,5,23
2022,6,6,24
2022,6,7,22
2022,6,8,25
2022,6,9,22
2022,6,10,26
2022,6,11,24
2022,6,12,25
2022,6,13,22
2022,6,14,22
2022,6,15,24
2022,6,16,22
2022,6,17,26
2022,6,18,23
2022,6,19,26
2022,6,20,26
2022,6,21,23
2022,6,22,23
2022,6,23,25
2022,6,24,25
2022,6,25,22
2022,6,26,26
2022,6,27,23
2022,6,28,22
2022,6,29,26
2022,6,30,25
2022,7,1,26
2022,7,2,26
2022,7,3,28
2022,7,4,31
2022,7,5,29
2022,7,6,31
2022,7,7,30
2022,7,8,30
2022,7,9,25
2022,7,10,29
2022,7,11,25
2022,7,12,27
2022,7,13,30
2022,7,14,26
2022,7,15,28
2022,7,16,25
2022,7,17,30
2022,7,18,31
2022,7,19,26
2022,7,20,27
2022,7,21,31
2022,7,22,30
2022,7,23,30
2022,7,24,28
2022,7,25,26
